singular,plural,past
scollops,scollop,scolloped
scoops,scoop,scooped
scoots,scoot,scooted
scopes,scope,scoped
scorches,scorch,scorched
scores,score,scored
scorns,scorn,scorned
scotches,scotch,scotched
scourges,scourge,scourged
scours,scour,scoured
scouts,scout,scouted
scowls,scowl,scowled
scrabbles,scrabble,scrabbled
scrambles,scramble,scrambled
scrams,scram,scrammed
scrapes,scrape,scraped
scraps,scrap,scrapped
scratches,scratch,scratched
scrawls,scrawl,scrawled
screams,scream,screamed
screeches,screech,screeched
screens,screen,screened
screws,screw,screwed
scribbles,scribble,scribbled
scribes,scribe,scribed
scrimmages,scrimmage,scrimmaged
scrimps,scrimp,scrimped
scrimshaws,scrimshaw,scrimshawed
scripts,script,scripted
scrolls,scroll,scrolled
scrounges,scrounge,scrounged
scrubs,scrub,scrubbed
scruffs,scruff,scruffed
scrunches,scrunch,scrunched
scruples,scruple,scrupled
scrutinizes,scrutinize,scrutinized
scuds,scud,scudded
scuffles,scuffle,scuffled
scuffs,scuff,scuffed
sculls,scull,sculled
sculpts,sculpt,sculpted
sculptures,sculpture,sculptured
scuppers,scupper,scuppered
scurfs,scurf,scurfed
scurries,scurry,scurried
scuttles,scuttle,scuttled
scythes,scythe,scythed
seals,seal,sealed
seams,seam,seamed
searches,search,searched
sears,sear,seared
seasons,season,seasoned
seats,seat,seated
secedes,secede,seceded
secludes,seclude,secluded
seconds,second,seconded
secretes,secrete,secreted
sections,section,sectioned
sectors,sector,sectored
secularizes,secularize,secularized
secures,secure,secured
sedates,sedate,sedated
sediments,sediment,sedimented
seduces,seduce,seduced
seeds,seed,seeded
seeks,seek,sought
seems,seem,seemed
seeps,seep,seeped
sees,see,saw
seesaws,seesaw,seesawed
seethes,seethe,seethed
segments,segment,segmented
segregates,segregate,segregated
seizes,seize,seized
selects,select,selected
selfs,self,selfed
sells,sell,sold
selvages,selvage,selvaged
selvedges,selvedge,selvedged
semaphores,semaphore,semaphored
sends,send,sent
senses,sense,sensed
sensitizes,sensitize,sensitized
sentences,sentence,sentenced
sentimentalizes,sentimentalize,sentimentalized
separates,separate,separated
sequences,sequence,sequenced
sequesters,sequester,sequestered
serenades,serenade,serenaded
serializes,serialize,serialized
sermonizes,sermonize,sermonized
serves,serve,served
services,service,serviced
sets,set,set
settles,settle,settled
severs,sever,severed
sews,sew,sewed
sexes,sex,sexed
shackles,shackle,shackled
shacks,shack,shacked
shades,shade,shaded
shadowboxes,shadowbox,shadowboxed
shadows,shadow,shadowed
shafts,shaft,shafted
shakes,shake,shook
shallows,shallow,shallowed
shambles,shamble,shambled
shames,shame,shamed
shampoos,shampoo,shampooed
shams,sham,shammed
shanghais,shanghai,shanghaied
shapes,shape,shaped
shares,share,shared
sharpens,sharpen,sharpened
shatters,shatter,shattered
shaves,shave,shaved
shears,shear,sheared
sheathes,sheathe,sheathed
sheds,shed,shed
sheers,sheer,sheered
sheets,sheet,sheeted
shellacs,shellac,shellacked
shells,shell,shelled
shelters,shelter,sheltered
shelves,shelve,shelved
shepherds,shepherd,shepherded
shields,shield,shielded
shies,shy,shied
shifts,shift,shifted
shimmers,shimmer,shimmered
shimmies,shimmy,shimmied
shims,shim,shimmed
shines,shine,shone
shingles,shingle,shingled
shins,shin,shinned
ships,ship,shipped
shipwrecks,shipwreck,shipwrecked
shirks,shirk,shirked
shits,shit,shit
shivers,shiver,shivered
shocks,shock,shocked
shoehorns,shoehorn,shoehorned
shoes,shoe,shoed
shoos,shoo,shooed
shoots,shoot,shot
shoplifts,shoplift,shoplifted
shops,shop,shopped
shores,shore,shored
shortchanges,shortchange,shortchanged
shortens,shorten,shortened
shorts,short,shorted
shoulders,shoulder,shouldered
shouts,shout,shouted
shovels,shovel,shoveled
shoves,shove,shoved
showcases,showcase,showcased
showers,shower,showered
shows,show,showed
shreds,shred,shredded
shrieks,shriek,shrieked
shrines,shrine,shrined
shrinks,shrink,shrank
shrivels,shrivel,shrivelled
shrives,shrive,shrove
shrouds,shroud,shrouded
shrugs,shrug,shrugged
shucks,shuck,shucked
shudders,shudder,shuddered
shuffles,shuffle,shuffled
shuns,shun,shunned
shunts,shunt,shunted
shushes,shush,shushed
shuts,shut,shut
shutters,shutter,shuttered
shuttles,shuttle,shuttled
sickens,sicken,sickened
sickles,sickle,sickled
sics,sic,sicced
sidelines,sideline,sidelined
sides,side,sided
sideswipes,sideswipe,sideswiped
sidetracks,sidetrack,sidetracked
sidles,sidle,sidled
sieves,sieve,sieved
sifts,sift,sifted
sighs,sigh,sighed
sights,sight,sighted
signalizes,signalize,signalized
signals,signal,signaled
signifies,signify,signified
signposts,signpost,signposted
signs,sign,signed
silages,silage,silaged
silences,silence,silenced
silhouettes,silhouette,silhouetted
silicates,silicate,silicated
silts,silt,silted
silvers,silver,silvered
simmers,simmer,simmered
simpers,simper,simpered
simplifies,simplify,simplified
simulates,simulate,simulated
singes,singe,singed
singles,single,singled
sings,sing,sang
sinks,sink,sank
sins,sin,sinned
siphons,siphon,siphoned
sips,sip,sipped
sires,sire,sired
sites,site,sited
sits,sit,sat
situates,situate,situated
sizes,size,sized
sizzles,sizzle,sizzled
skates,skate,skated
skedaddles,skedaddle,skedaddled
skeins,skein,skeined
sketches,sketch,sketched
skewers,skewer,skewered
skews,skew,skewed
skids,skid,skidded
skies,sky,skied
skills,skill,skilled
skimps,skimp,skimped
skims,skim,skimmed
skins,skin,skinned
skippers,skipper,skippered
skips,skip,skipped
skirmishes,skirmish,skirmished
skirts,skirt,skirted
skis,ski,skied
skulks,skulk,skulked
skulls,skull,skulled
skylarks,skylark,skylarked
skyrockets,skyrocket,skyrocketed
slackens,slacken,slackened
slacks,slack,slacked
slakes,slake,slaked
slams,slam,slammed
slanders,slander,slandered
slangs,slang,slanged
slants,slant,slanted
slaps,slap,slapped
slashes,slash,slashed
slates,slate,slated
slats,slat,slatted
slaughters,slaughter,slaughtered
slavers,slaver,slavered
slaves,slave,slaved
slays,slay,slew
sledges,sledge,sledged
sleds,sled,sledded
sleeps,sleep,slept
sleepwalks,sleepwalk,sleepwalked
sleets,sleet,sleeted
sleighs,sleigh,sleighed
slenderizes,slenderize,slenderized
sleuths,sleuth,sleuthed
slices,slice,sliced
slides,slide,slid
slights,slight,slighted
slims,slim,slimmed
slings,sling,slung
slinks,slink,slunk
slips,slip,slipped
slithers,slither,slithered
slits,slit,slit
slivers,sliver,slivered
slobbers,slobber,slobbered
slogs,slog,slogged
slopes,slope,sloped
slops,slop,slopped
sloshes,slosh,sloshed
slots,slot,slotted
slouches,slouch,slouched
sloughs,slough,sloughed
slows,slow,slowed
sludges,sludge,sludged
slugs,slug,slugged
sluices,sluice,sluiced
slumbers,slumber,slumbered
slumps,slump,slumped
slums,slum,slummed
slurps,slurp,slurped
slurs,slur,slurred
slushes,slush,slushed
smacks,smack,smacked
smartens,smarten,smartened
smarts,smart,smarted
smashes,smash,smashed
smears,smear,smeared
smells,smell,smelled
smiles,smile,smiled
smirches,smirch,smirched
smirks,smirk,smirked
smites,smite,smote
smocks,smock,smocked
smokes,smoke,smoked
smolders,smolder,smoldered
smooths,smooth,smoothed
smothers,smother,smothered
smudges,smudge,smudged
smuggles,smuggle,smuggled
smuts,smut,smutted
snacks,snack,snacked
snaffles,snaffle,snaffled
snags,snag,snagged
snakes,snake,snaked
snaps,snap,snapped
snares,snare,snared
snarls,snarl,snarled
snatches,snatch,snatched
sneaks,sneak,sneaked
sneers,sneer,sneered
sneezes,sneeze,sneezed
snickers,snicker,snickered
sniffles,sniffle,sniffled
sniffs,sniff,sniffed
sniggers,snigger,sniggered
snipes,snipe,sniped
snips,snip,snipped
snitches,snitch,snitched
snivels,snivel,snivelled
snookers,snooker,snookered
snoops,snoop,snooped
snoozes,snooze,snoozed
snores,snore,snored
snorkels,snorkel,snorkeled
snorts,snort,snorted
snowballs,snowball,snowballed
snows,snow,snowed
snowshoes,snowshoe,snowshoed
snubs,snub,snubbed
snuffles,snuffle,snuffled
snuffs,snuff,snuffed
snuggles,snuggle,snuggled
snugs,snug,snugged
soaks,soak,soaked
soaps,soap,soaped
soars,soar,soared
sobers,sober,sobered
sobs,sob,sobbed
socializes,socialize,socialized
socks,sock,socked
sods,sod,sodded
softens,soften,softened
soils,soil,soiled
sojourns,sojourn,sojourned
solaces,solace,solaced
solders,solder,soldered
soldiers,soldier,soldiered
solemnizes,solemnize,solemnized
soles,sole,soled
solicits,solicit,solicited
solidifies,solidify,solidified
soliloquizes,soliloquize,soliloquized
solos,solo,soloed
solves,solve,solved
somersaults,somersault,somersaulted
soothes,soothe,soothed
soots,soot,sooted
sophisticates,sophisticate,sophisticated
sops,sop,sopped
sorrows,sorrow,sorrowed
sorts,sort,sorted
soughs,sough,soughed
soundproofs,soundproof,soundproofed
sounds,sound,sounded
soups,soup,souped
sources,source,sourced
sours,sour,soured
souses,souse,soused
sows,sow,sowed
spaces,space,spaced
spades,spade,spaded
spangles,spangle,spangled
spanks,spank,spanked
spans,span,spanned
spares,spare,spared
sparkles,sparkle,sparkled
sparks,spark,sparked
spars,spar,sparred
spasms,spasm,spasmed
spates,spate,spated
spatters,spatter,spattered
spawns,spawn,spawned
spays,spay,spayed
speaks,speak,spoke
spearheads,spearhead,spearheaded
spears,spear,speared
specializes,specialize,specialized
specifies,specify,specified
speckles,speckle,speckled
speculates,speculate,speculated
speeds,speed,sped
spells,spell,spelled
spends,spend,spent
spews,spew,spewed
spices,spice,spiced
spies,spy,spied
spikes,spike,spiked
spills,spill,spilled
spindles,spindle,spindled
spins,spin,spun
spirals,spiral,spiraled
spirits,spirit,spirited
spites,spite,spited
spits,spit,spat
splashes,splash,splashed
splatters,splatter,splattered
splays,splay,splayed
splices,splice,spliced
splinters,splinter,splintered
splints,splint,splinted
splits,split,split
splotches,splotch,splotched
splurges,splurge,splurged
splutters,splutter,spluttered
spoils,spoil,spoiled
sponges,sponge,sponged
sponsors,sponsor,sponsored
spoofs,spoof,spoofed
spooks,spook,spooked
spools,spool,spooled
spoons,spoon,spooned
sports,sport,sported
spotlights,spotlight,spotlighted
spots,spot,spotted
spouts,spout,spouted
sprains,sprain,sprained
sprawls,sprawl,sprawled
sprays,spray,sprayed
spreads,spread,spread
springs,spring,sprang
sprinkles,sprinkle,sprinkled
sprints,sprint,sprinted
sprouts,sprout,sprouted
spruces,spruce,spruced
spuds,spud,spudded
spurns,spurn,spurned
spurs,spur,spurred
sputters,sputter,sputtered
squabbles,squabble,squabbled
squalls,squall,squalled
squanders,squander,squandered
squares,square,squared
squashes,squash,squashed
squats,squat,squatted
squawks,squawk,squawked
squeaks,squeak,squeaked
squeals,squeal,squealed
squeegees,squeegee,squeegeed
squeezes,squeeze,squeezed
squelches,squelch,squelched
squints,squint,squinted
squires,squire,squired
squirms,squirm,squirmed
squirts,squirt,squirted
stabilizes,stabilize,stabilized
stables,stable,stabled
stabs,stab,stabbed
stacks,stack,stacked
staffs,staff,staffed
stages,stage,staged
staggers,stagger,staggered
stagnates,stagnate,stagnated
stags,stag,stagged
stains,stain,stained
stakes,stake,staked
stalemates,stalemate,stalemated
stales,stale,staled
stalks,stalk,stalked
stalls,stall,stalled
stammers,stammer,stammered
stampedes,stampede,stampeded
stamps,stamp,stamped
stanches,stanch,stanched
stanchions,stanchion,stanchioned
standardizes,standardize,standardized
stands,stand,stood
staples,staple,stapled
starches,starch,starched
stares,stare,stared
stars,star,starred
startles,startle,startled
starts,start,started
starves,starve,starved
stashes,stash,stashed
states,state,stated
stations,station,stationed
staunches,staunch,staunched
staves,stave,staved
stays,stay,stayed
steadies,steady,steadied
steals,steal,stole
steams,steam,steamed
steels,steel,steeled
steeps,steep,steeped
steers,steer,steered
stems,stem,stemmed
stencils,stencil,stenciled
stents,stent,stented
steps,step,stepped
stereotypes,stereotype,stereotyped
sterilizes,sterilize,sterilized
stewards,steward,stewarded
stews,stew,stewed
sticks,stick,stuck
stiffens,stiffen,stiffened
stiffs,stiff,stiffed
stifles,stifle,stifled
stigmatizes,stigmatize,stigmatized
stills,still,stilled
stilts,stilt,stilted
stimulates,stimulate,stimulated
stings,sting,stung
stinks,stink,stank
stints,stint,stinted
stipples,stipple,stippled
stipulates,stipulate,stipulated
stirs,stir,stirred
stitches,stitch,stitched
stockades,stockade,stockaded
stockpiles,stockpile,stockpiled
stocks,stock,stocked
stokes,stoke,stoked
stomachs,stomach,stomached
stomps,stomp,stomped
stones,stone,stoned
stonewalls,stonewall,stonewalled
stools,stool,stooled
stoops,stoop,stooped
stoppers,stopper,stoppered
stops,stop,stopped
stores,store,stored
storms,storm,stormed
stows,stow,stowed
straddles,straddle,straddled
strafes,strafe,strafed
straggles,straggle,straggled
straightens,straighten,straightened
strains,strain,strained
strands,strand,stranded
strangles,strangle,strangled
strangulates,strangulate,strangulated
straps,strap,strapped
stratifies,stratify,stratified
strays,stray,strayed
streaks,streak,streaked
streamlines,streamline,streamlined
streams,stream,streamed
strengthens,strengthen,strengthened
stresses,stress,stressed
stretches,stretch,stretched
strews,strew,strewed
strictures,stricture,strictured
strides,stride,strode
strikes,strike,struck
strings,string,strung
strips,strip,stripped
strives,strive,strove
strokes,stroke,stroked
strolls,stroll,strolled
strops,strop,stropped
structures,structure,structured
struggles,struggle,struggled
strums,strum,strummed
struts,strut,strutted
strychnines,strychnine,strychnined
stubs,stub,stubbed
studies,study,studied
studs,stud,studded
stuffs,stuff,stuffed
stultifies,stultify,stultified
stumbles,stumble,stumbled
stumps,stump,stumped
stuns,stun,stunned
stunts,stunt,stunted
stupefies,stupefy,stupefied
stutters,stutter,stuttered
styles,style,styled
stylizes,stylize,stylized
stymies,stymie,stymied
subcontracts,subcontract,subcontracted
subcultures,subculture,subcultured
subdivides,subdivide,subdivided
subdues,subdue,subdued
subgroups,subgroup,subgrouped
subjects,subject,subjected
subjoins,subjoin,subjoined
subjugates,subjugate,subjugated
subleases,sublease,subleased
sublets,sublet,subletted
sublimates,sublimate,sublimated
sublimes,sublime,sublimed
submerges,submerge,submerged
submerses,submerse,submersed
submits,submit,submitted
subordinates,subordinate,subordinated
suborns,suborn,suborned
subpoenas,subpoena,subpoenaed
subs,sub,subbed
subscribes,subscribe,subscribed
subsides,subside,subsided
subsidizes,subsidize,subsidized
subsists,subsist,subsisted
substantiates,substantiate,substantiated
substitutes,substitute,substituted
substructures,substructure,substructured
subsumes,subsume,subsumed
subtitles,subtitle,subtitled
subtracts,subtract,subtracted
subverts,subvert,subverted
succeeds,succeed,succeeded
succors,succor,succored
succumbs,succumb,succumbed
suckers,sucker,suckered
suckles,suckle,suckled
sucks,suck,sucked
suctions,suction,suctioned
sues,sue,sued
suffers,suffer,suffered
suffices,suffice,sufficed
suffixes,suffix,suffixed
suffocates,suffocate,suffocated
suffuses,suffuse,suffused
sugars,sugar,sugared
suggests,suggest,suggested
suicides,suicide,suicided
suits,suit,suited
sulks,sulk,sulked
sullies,sully,sullied
sulphates,sulphate,sulphated
summarizes,summarize,summarized
summers,summer,summered
summons,summon,summoned
sums,sum,summed
sunburns,sunburn,sunburned
sunders,sunder,sundered
suns,sun,sunned
superannuates,superannuate,superannuated
supercharges,supercharge,supercharged
superimposes,superimpose,superimposed
superintends,superintend,superintended
supersizes,supersize,supersized
supervenes,supervene,supervened
supervises,supervise,supervised
supplants,supplant,supplanted
supplements,supplement,supplemented
supplicates,supplicate,supplicated
supplies,supply,supplied
supports,support,supported
supposes,suppose,supposed
suppresses,suppress,suppressed
suppurates,suppurate,suppurated
sups,sup,supped
surceases,surcease,surceased
surcharges,surcharge,surcharged
surfaces,surface,surfaced
surfeits,surfeit,surfeited
surfs,surf,surfed
surges,surge,surged
surmises,surmise,surmised
surmounts,surmount,surmounted
surpasses,surpass,surpassed
surprises,surprise,surprised
surrenders,surrender,surrendered
surrogates,surrogate,surrogated
surrounds,surround,surrounded
surveys,survey,surveyed
survives,survive,survived
suspects,suspect,suspected
suspends,suspend,suspended
sustains,sustain,sustained
sutures,suture,sutured
swabs,swab,swabbed
swaddles,swaddle,swaddled
swaggers,swagger,swaggered
swallows,swallow,swallowed
swamps,swamp,swamped
swans,swan,swanned
swaps,swap,swapped
swarms,swarm,swarmed
swashes,swash,swashed
swathes,swathe,swathed
swats,swat,swatted
sways,sway,swayed
swears,swear,swore
sweats,sweat,sweated
sweeps,sweep,swept
sweetens,sweeten,sweetened
swells,swell,swelled
swelters,swelter,sweltered
swerves,swerve,swerved
swigs,swig,swigged
swills,swill,swilled
swims,swim,swam
swindles,swindle,swindled
swings,swing,swung
swipes,swipe,swiped
swirls,swirl,swirled
swishes,swish,swished
switches,switch,switched
swivels,swivel,swiveled
swobs,swob,swobbed
swoons,swoon,swooned
swoops,swoop,swooped
syllabifies,syllabify,syllabified
symbolizes,symbolize,symbolized
sympathizes,sympathize,sympathized
synapses,synapse,synapsed
synchronizes,synchronize,synchronized
syncopates,syncopate,syncopated
syndicates,syndicate,syndicated
synthesizes,synthesize,synthesized
syringes,syringe,syringed
systematizes,systematize,systematized
tables,table,tabled
tablets,tablet,tableted
taboos,taboo,tabooed
tabulates,tabulate,tabulated
tabus,tabu,tabued
tackles,tackle,tackled
tacks,tack,tacked
tags,tag,tagged
tailors,tailor,tailored
tails,tail,tailed
taints,taint,tainted
takes,take,took
talcs,talc,talced
talks,talk,talked
tallies,tally,tallied
tames,tame,tamed
tampers,tamper,tampered
tampons,tampon,tamponed
tamps,tamp,tamped
tangles,tangle,tangled
tangos,tango,tangoed
tanks,tank,tanked
tans,tan,tanned
tantalizes,tantalize,tantalized
tapers,taper,tapered
tapes,tape,taped
taps,tap,tapped
tares,tare,tared
targets,target,targeted
tarmacs,tarmac,tarmacked
tarnishes,tarnish,tarnished
tarries,tarry,tarried
tars,tar,tared
tasks,task,tasked
tassels,tassel,tasseled
tastes,taste,tasted
tatters,tatter,tattered
tattles,tattle,tattled
taunts,taunt,taunted
taxes,tax,taxed
taxis,taxi,taxied
teaches,teach,taught
teams,team,teamed
tears,tear,tore
teasels,teasel,teaseled
teases,tease,teased
teems,teem,teemed
tees,tee,teed
teeters,teeter,teetered
teethes,teethe,teethed
telecasts,telecast,telecasted
telegraphs,telegraph,telegraphed
telephones,telephone,telephoned
telescopes,telescope,telescoped
televises,televise,televised
tells,tell,told
tempers,temper,tempered
templates,template,templated
temporizes,temporize,temporized
temps,temp,temped
tempts,tempt,tempted
tenants,tenant,tenanted
tenderizes,tenderize,tenderized
tenders,tender,tendered
tends,tend,tended
tenons,tenon,tenoned
tenses,tense,tensed
tensions,tension,tensioned
tents,tent,tented
tenures,tenure,tenured
terminates,terminate,terminated
terms,term,termed
terraces,terrace,terraced
terrifies,terrify,terrified
terrorizes,terrorize,terrorized
testates,testate,testated
testifies,testify,testified
tests,test,tested
tethers,tether,tethered
textures,texture,textured
thanks,thank,thanked
thatches,thatch,thatched
thaws,thaw,thawed
theorizes,theorize,theorized
thermostats,thermostat,thermostated
thickens,thicken,thickened
thieves,thieve,thieved
thinks,think,thought
thins,thin,thinned
thirds,third,thirded
thirsts,thirst,thirsted
thorns,thorn,thorned
thrashes,thrash,thrashed
threads,thread,threaded
threatens,threaten,threatened
threshes,thresh,threshed
thresholds,threshold,thresholded
thrills,thrill,thrilled
thrives,thrive,thrived
throbs,throb,throbbed
throes,throe,throed
thrones,throne,throned
throngs,throng,thronged
throttles,throttle,throttled
throws,throw,threw
thrums,thrum,thrummed
thrusts,thrust,thrust
thuds,thud,thudded
thumbs,thumb,thumbed
thumps,thump,thumped
thunders,thunder,thundered
thwacks,thwack,thwacked
thwarts,thwart,thwarted
tickets,ticket,ticketed
tickles,tickle,tickled
ticks,tick,ticked
tides,tide,tided
tidies,tidy,tidied
tiers,tier,tiered
ties,tie,tied
tightens,tighten,tightened
tiles,tile,tiled
tillers,tiller,tillered
tills,till,tilled
tilts,tilt,tilted
timbers,timber,timbered
times,time,timed
timetables,timetable,timetabled
tinctures,tincture,tinctured
tines,tine,tined
tinges,tinge,tinged
tingles,tingle,tingled
tings,ting,tinged
tinkers,tinker,tinkered
tinkles,tinkle,tinkled
tins,tin,tinned
tints,tint,tinted
tipples,tipple,tippled
tips,tip,tipped
tiptoes,tiptoe,tiptoed
tires,tire,tired
tithes,tithe,tithed
titillates,titillate,titillated
titles,title,titled
titters,titter,tittered
toadies,toady,toadied
toasts,toast,toasted
toboggans,toboggan,tobogganed
toddles,toddle,toddled
toes,toe,toed
toggles,toggle,toggled
togs,tog,togged
toils,toil,toiled
tolerates,tolerate,tolerated
tolls,toll,tolled
tones,tone,toned
tongues,tongue,tongued
tonsures,tonsure,tonsured
tools,tool,tooled
toots,toot,tooted
topples,topple,toppled
tops,top,topped
torments,torment,tormented
torpedo,torpedo,torpedoed
torques,torque,torqued
tortures,torture,tortured
tosses,toss,tossed
totals,total,totaled
totes,tote,toted
totters,totter,tottered
touches,touch,touched
toughens,toughen,toughened
toughs,tough,toughed
tours,tour,toured
tousles,tousle,tousled
touts,tout,touted
towels,towel,towelled
towers,tower,towered
tows,tow,towed
toys,toy,toyed
traces,trace,traced
tracks,track,tracked
trades,trade,traded
traduces,traduce,traduced
traffics,traffic,trafficked
trails,trail,trailed
trains,train,trained
trammels,trammel,trammeled
tramples,trample,trampled
tramps,tramp,tramped
transacts,transact,transacted
transcends,transcend,transcended
transcribes,transcribe,transcribed
transcripts,transcript,transcripted
transfers,transfer,transferred
transfigures,transfigure,transfigured
transfixes,transfix,transfixed
transforms,transform,transformed
transfuses,transfuse,transfused
transgresses,transgress,transgressed
transitions,transition,transitioned
transits,transit,transited
translates,translate,translated
transliterates,transliterate,transliterated
transmigrates,transmigrate,transmigrated
transmits,transmit,transmitted
transmutes,transmute,transmuted
transpires,transpire,transpired
transplants,transplant,transplanted
transports,transport,transported
transposes,transpose,transposed
transverses,transverse,transversed
traps,trap,trapped
trashes,trash,trashed
traumatizes,traumatize,traumatized
travels,travel,traveled
traverses,traverse,traversed
travesties,travesty,travestied
trawls,trawl,trawled
treadles,treadle,treadled
treadmills,treadmill,treadmilled
treads,tread,trod
treasures,treasure,treasured
treats,treat,treated
trebles,treble,trebled
trees,tree,treed
treks,trek,trekked
trellises,trellis,trellised
trembles,tremble,trembled
trenches,trench,trenched
trends,trend,trended
trespasses,trespass,trespassed
triages,triage,triaged
trials,trial,trialed
trickles,trickle,trickled
tricks,trick,tricked
tries,try,tried
trifles,trifle,trifled
triggers,trigger,triggered
trills,trill,trilled
trims,trim,trimmed
triples,triple,tripled
triplicates,triplicate,triplicated
tripods,tripod,tripoded
trips,trip,tripped
trisects,trisect,trisected
triumphs,triumph,triumphed
trivializes,trivialize,trivialized
trolls,troll,trolled
troops,troop,trooped
trots,trot,trotted
troubles,trouble,troubled
troughs,trough,troughed
trounces,trounce,trounced
truckles,truckle,truckled
trucks,truck,trucked
trudges,trudge,trudged
trues,true,trued
trumpets,trumpet,trumpeted
trumps,trump,trumped
truncates,truncate,truncated
trundles,trundle,trundled
trusses,truss,trussed
trusts,trust,trusted
tucks,tuck,tucked
tugs,tug,tugged
tumbles,tumble,tumbled
tunes,tune,tuned
tunnels,tunnel,tunneled
turfs,turf,turfed
turns,turn,turned
tussles,tussle,tussled
tutors,tutor,tutored
twangs,twang,twanged
tweaks,tweak,tweaked
tweets,tweet,tweeted
twiddles,twiddle,twiddled
twines,twine,twined
twinges,twinge,twinged
twinkles,twinkle,twinkled
twins,twin,twinned
twirls,twirl,twirled
twists,twist,twisted
twitches,twitch,twitched
twits,twit,twitted
twitters,twitter,twittered
typecasts,typecast,typecast
types,type,typed
typesets,typeset,typeset
typifies,typify,typified
tyrannizes,tyrannize,tyrannized
ulcerates,ulcerate,ulcerated
ulcers,ulcer,ulcered
umpires,umpire,umpired
unbars,unbar,unbarred
unbends,unbend,unbent
unbinds,unbind,unbound
unblocks,unblock,unblocked
unbosoms,unbosom,unbosomed
unbuckles,unbuckle,unbuckled
unburdens,unburden,unburdened
unbuttons,unbutton,unbuttoned
unclasps,unclasp,unclasped
uncoils,uncoil,uncoiled
uncorks,uncork,uncorked
uncouples,uncouple,uncoupled
uncovers,uncover,uncovered
undeceives,undeceive,undeceived
underacts,underact,underacted
underbids,underbid,underbid
undercharges,undercharge,undercharged
undercoats,undercoat,undercoated
undercuts,undercut,undercut
underestimates,underestimate,underestimated
underexposes,underexpose,underexposed
undergoes,undergo,underwent
underlays,underlay,underlayed
underlies,underlie,underlay
underlines,underline,underlined
undermines,undermine,undermined
underpays,underpay,underpaid
underpins,underpin,underpinned
underplays,underplay,underplayed
underrates,underrate,underrated
underscores,underscore,underscored
undersells,undersell,undersold
undershoots,undershoot,undershot
undersigns,undersign,undersigned
understands,understand,understood
understates,understate,understated
understudies,understudy,understudied
undertakes,undertake,undertook
undervalues,undervalue,undervalued
underwrites,underwrite,underwrote
undoes,undo,undid
undresses,undress,undressed
undulates,undulate,undulated
unearths,unearth,unearthed
unfastens,unfasten,unfastened
unfetters,unfetter,unfettered
unfits,unfit,unfitted
unfolds,unfold,unfolded
unfrocks,unfrock,unfrocked
unfurls,unfurl,unfurled
unhands,unhand,unhanded
unhinges,unhinge,unhinged
unhooks,unhook,unhooked
unhorses,unhorse,unhorsed
unifies,unify,unified
uniforms,uniform,uniformed
unionizes,unionize,unionized
unites,unite,united
unlaces,unlace,unlaced
unlatches,unlatch,unlatched
unlearns,unlearn,unlearned
unleashes,unleash,unleashed
unloads,unload,unloaded
unlocks,unlock,unlocked
unlooses,unloose,unloosed
unmakes,unmake,unmaked
unmans,unman,unmanned
unmasks,unmask,unmasked
unnerves,unnerve,unnerved
unpacks,unpack,unpacked
unpicks,unpick,unpicked
unpins,unpin,unpinned
unplugs,unplug,unplugged
unravels,unravel,unraveled
unrolls,unroll,unrolled
unsays,unsay,unsaid
unscrambles,unscramble,unscrambled
unscrews,unscrew,unscrewed
unseals,unseal,unsealed
unseats,unseat,unseated
unsettles,unsettle,unsettled
unsheathes,unsheathe,unsheathed
unsnarls,unsnarl,unsnarled
untangles,untangle,untangled
unties,untie,untied
untwists,untwist,untwisted
unveils,unveil,unveiled
unwinds,unwind,unwound
unwraps,unwrap,unwrapped
upbraids,upbraid,upbraided
updates,update,updated
upgrades,upgrade,upgraded
upholds,uphold,upheld
upholsters,upholster,upholstered
uplifts,uplift,uplifted
upraises,upraise,upraised
uproots,uproot,uprooted
ups,up,upped
upscales,upscale,upscaled
upsets,upset,upset
upstages,upstage,upstaged
upstarts,upstart,upstarted
uptakes,uptake,uptaked
upturns,upturn,upturned
urbanizes,urbanize,urbanized
urges,urge,urged
urinates,urinate,urinated
uses,use,used
ushers,usher,ushered
usurps,usurp,usurped
utilizes,utilize,utilized
utters,utter,uttered
vacates,vacate,vacated
vacations,vacation,vacationed
vaccinates,vaccinate,vaccinated
vacillates,vacillate,vacillated
vacuums,vacuum,vacuumed
valets,valet,valeted
validates,validate,validated
values,value,valued
vamooses,vamoose,vamoosed
vamps,vamp,vamped
vandalizes,vandalize,vandalized
vanishes,vanish,vanished
vanquishes,vanquish,vanquished
vaporizes,vaporize,vaporized
vapors,vapor,vapored
variegates,variegate,variegated
varies,vary,varied
varnishes,varnish,varnished
vaults,vault,vaulted
vaunts,vaunt,vaunted
veals,veal,vealed
vectors,vector,vectored
veers,veer,veered
vegetates,vegetate,vegetated
veils,veil,veiled
veins,vein,veined
vends,vend,vended
veneers,veneer,veneered
venerates,venerate,venerated
ventilates,ventilate,ventilated
vents,vent,vented
ventures,venture,ventured
verbalizes,verbalize,verbalized
verges,verge,verged
verifies,verify,verified
versifies,versify,versified
versions,version,versioned
vests,vest,vested
vetoes,veto,vetoed
vets,vet,vetted
vexes,vex,vexed
vibrates,vibrate,vibrated
victimizes,victimize,victimized
victuals,victual,victualled
videos,video,videoed
vies,vie,vied
views,view,viewed
